,open,close,high,low,volume,money
2018-01-02,45.48,45.95,46.17,45.08,5781129.0,263853447.0
2018-01-03,45.95,45.77,45.97,44.99,4715289.0,214804915.0
2018-01-04,45.74,47.41,47.45,45.57,11667041.0,547174008.0
2018-01-05,47.56,47.03,47.8,46.67,6768560.0,318776323.0
2018-01-08,47.06,46.36,47.21,45.47,6780242.0,312965563.0
2018-01-09,46.36,47.33,48.0,45.87,9237322.0,437866789.0
2018-01-10,47.65,48.34,48.4,47.17,8497704.0,407261238.0
2018-01-11,48.44,47.3,48.45,46.79,7104094.0,336977885.0
2018-01-12,46.86,47.2,47.73,46.46,5884101.0,276387211.0
2018-01-15,47.21,50.45,50.52,47.21,14597688.0,715931586.0
2018-01-16,49.93,51.94,53.87,49.13,13204227.0,683407815.0
2018-01-17,51.9,51.01,52.65,50.52,6788228.0,348834146.0
2018-01-18,51.21,51.35,54.23,50.66,11562276.0,606211497.0
2018-01-19,51.86,50.37,51.92,49.43,8211607.0,414457765.0
2018-01-22,50.58,52.04,52.83,50.42,9053213.0,469961411.0
2018-01-23,52.31,52.19,52.54,50.91,5689755.0,295706164.0
2018-01-24,52.2,51.41,52.35,50.42,6804997.0,348251605.0
2018-01-25,50.42,49.19,50.72,47.73,11731295.0,575016515.0
2018-01-26,49.01,49.68,49.98,48.32,6343982.0,313686148.0
2018-01-29,49.71,46.39,49.71,45.08,12072097.0,566744274.0
2018-01-30,46.06,45.13,46.07,44.49,9552291.0,431107515.0
2018-01-31,45.08,45.39,46.61,44.69,8672421.0,396208034.0
2018-02-01,45.28,42.38,45.28,41.52,13147998.0,563739479.0
2018-02-02,42.01,42.07,42.76,40.59,9795271.0,408409019.0
2018-02-05,40.05,40.68,41.52,37.86,17107430.0,677650691.0
2018-02-06,38.81,41.53,42.7,38.63,17052334.0,712401630.0
2018-02-07,42.01,41.48,43.66,40.33,14201770.0,602662678.0
2018-02-08,41.96,42.25,42.51,40.82,6971580.0,292801316.0
2018-02-09,40.53,41.23,41.39,38.22,11287562.0,449074978.0
2018-02-12,41.32,44.47,44.63,41.27,14054097.0,610417379.0
2018-02-13,44.7,43.75,46.27,43.68,9147000.0,408755880.0
2018-02-14,43.92,44.56,45.22,43.21,5619471.0,250244844.0
2018-02-22,44.63,45.28,45.97,44.63,5588910.0,253796229.0
2018-02-23,45.49,45.47,46.27,44.46,5568354.0,253532126.0
2018-02-26,45.47,45.0,45.76,44.0,5189333.0,232821711.0
2018-02-27,45.45,44.41,45.45,44.12,3809894.0,169278871.0
2018-02-28,43.4,42.42,44.09,41.53,7429483.0,317122512.0
2018-03-01,42.36,43.46,43.75,42.09,5675007.0,245503604.0
2018-03-02,43.2,42.56,44.19,42.41,3841383.0,165542717.0
2018-03-05,43.2,41.32,43.25,40.9,6057861.0,252254710.0
2018-03-06,41.68,42.2,42.27,40.4,5691335.0,235619705.0
2018-03-07,42.02,42.57,43.38,41.72,4879669.0,209201398.0
2018-03-08,42.81,42.97,43.0,42.01,3314350.0,141511482.0
2018-03-09,43.0,43.88,43.99,42.52,4937080.0,215828281.0
2018-03-12,44.09,43.92,44.31,42.88,6216316.0,271354912.0
2018-03-13,44.03,44.32,44.71,43.62,4669657.0,206703819.0
2018-03-14,44.32,44.85,44.9,43.34,5117662.0,225564481.0
2018-03-15,44.89,45.18,46.45,44.85,6146687.0,281707945.0
2018-03-16,45.18,45.48,45.98,44.71,3308835.0,150541182.0
2018-03-19,45.38,45.51,46.46,44.93,3103725.0,142310479.0
2018-03-20,45.47,45.15,45.86,44.82,2719561.0,123287375.0
2018-03-21,44.97,45.47,46.36,44.97,3985518.0,181460355.0
2018-03-22,45.38,43.29,45.65,42.92,7259364.0,317389890.0
2018-03-23,40.93,41.71,42.93,40.68,4433213.0,184166789.0
2018-03-26,41.32,43.59,43.7,40.69,8147803.0,349791176.0
2018-03-27,43.79,43.63,44.29,43.28,5328701.0,232038994.0
2018-03-28,43.0,42.42,43.97,41.51,8699328.0,369655457.0
2018-03-29,42.51,42.7,42.98,40.94,5548034.0,232941261.0
2018-03-30,42.7,42.13,42.7,41.9,3224981.0,136063428.0
2018-04-02,42.11,42.26,43.0,41.4,5948099.0,250957034.0
2018-04-03,41.92,42.24,42.52,41.52,3251474.0,136762048.0
2018-04-04,42.21,44.39,45.16,42.2,8233406.0,364126936.0
2018-04-09,44.04,44.54,44.78,43.5,3210103.0,141991838.0
2018-04-10,44.29,44.68,44.75,43.5,4333573.0,191999579.0
2018-04-11,44.98,45.62,46.04,44.78,5352842.0,244623432.0
2018-04-12,45.77,44.81,45.92,44.46,4856644.0,218031522.0
2018-04-13,44.81,43.81,45.45,43.77,2984667.0,132366331.0
